ImageNumber	ObjectNumber	Location_Center_X	Location_Center_Y	Location_Center_Z	Number_Object_Number	Parent_Cells
1	345	362.0	78.0	0	345	0
1	346	405.5	78.5	0	346	13
1	347	125.33333333333333	79.66666666666667	0	347	11
1	348	400.5	79.0	0	348	13
1	349	408.5	79.0	0	349	13
1	350	481.0	79.0	0	350	15
1	351	172.0	80.0	0	351	10
1	352	464.0	80.0	0	352	15
1	353	117.5	81.5	0	353	11
1	354	145.5	81.0	0	354	14
1	355	157.5	81.0	0	355	12
1	356	159.5	81.0	0	356	12
1	357	274.0	81.0	0	357	0
1	358	398.0	81.0	0	358	13
1	359	408.0	81.0	0	359	13
1	360	412.5	81.0	0	360	13
1	361	132.33333333333334	81.66666666666667	0	361	11
1	362	153.0	82.0	0	362	12
1	363	410.2	81.4	0	363	13
1	364	120.5	83.0	0	364	11
1	365	122.0	83.0	0	365	11
1	366	144.0	83.0	0	366	14
1	367	147.0	83.0	0	367	14
1	368	178.0	83.0	0	368	10
1	369	372.0	83.0	0	369	0
1	370	117.5	84.0	0	370	11
1	371	139.0	84.0	0	371	14
1	372	174.66666666666666	83.66666666666667	0	372	10
1	373	183.0	84.0	0	373	10
1	374	403.6666666666667	84.33333333333333	0	374	13
1	375	467.3333333333333	84.33333333333333	0	375	15
1	376	144.0	84.5	0	376	14
1	377	153.0	85.0	0	377	12
1	378	163.66666666666666	84.66666666666667	0	378	12
1	379	201.0	84.83333333333333	0	379	17
1	380	400.5	85.5	0	380	13
1	381	405.5	85.5	0	381	13
1	382	127.5	86.0	0	382	11
1	383	219.0	86.0	0	383	0
1	384	264.5	85.5	0	384	0
1	385	480.0	86.0	0	385	15
1	386	136.5	87.0	0	386	11
1	387	146.0	86.5	0	387	14
1	388	160.5	87.0	0	388	12
1	389	270.0	87.0	0	389	0
1	390	342.0	87.0	0	390	0
1	391	141.85714285714286	88.42857142857143	0	391	14
1	392	335.0	88.0	0	392	0
1	393	415.0	88.0	0	393	13
1	394	417.5	88.0	0	394	13
1	395	126.0	89.5	0	395	11
1	396	144.5	89.5	0	396	14
1	397	488.0	88.5	0	397	15
1	398	117.66666666666667	90.33333333333333	0	398	11
1	399	158.5	90.0	0	399	12
